alpha,n,n_pos,auroc,auprc,pearson_r,mse
0.0,26038,1301,0.8260920875310029,0.2571748007978519,0.5170887808529633,0.05208181335453035
0.05,26038,1301,0.8410941832132449,0.292094273893666,0.5192632544277392,0.05190188036448106
0.1,26038,1301,0.8473028962611346,0.3021501274738335,0.5209185833342321,0.05178350510621654
0.15,26038,1301,0.8514256216753048,0.30880306167159,0.5219842605884564,0.05172668757973681
0.2,26038,1301,0.8544147615078186,0.3135411745797869,0.5223885114384851,0.05173142778504182
0.25,26038,1301,0.8566111496012611,0.31787260805423545,0.5220600315301193,0.05179772572213163
0.3,26038,1301,0.858275670351871,0.3213280925855986,0.5209300679510847,0.051925581391006184
0.35,26038,1301,0.8595315882189006,0.32499308193921345,0.5189347906826374,0.05211499479166553
0.4,26038,1301,0.8604526070837074,0.3270292039539674,0.5160178617221375,0.052365965924109636
0.45,26038,1301,0.8611190803346516,0.328119383570767,0.5121330681988343,0.052678494788338505
0.5,26038,1301,0.8615490610725214,0.32840105056333857,0.5072468502981746,0.053052581384352156
0.55,26038,1301,0.8618067450051095,0.3283155127315882,0.5013405318216272,0.05348822571215058
0.6,26038,1301,0.8619470061014198,0.3283597462505274,0.4944120574619714,0.05398542777173378
0.65,26038,1301,0.861955551028643,0.3285890948450557,0.486477061027859,0.05454418756310173
0.7,26038,1301,0.8618631415247823,0.3284411101603746,0.47756913387145067,0.05516450508625447
0.75,26038,1301,0.8616797207778792,0.32803499449461204,0.46773922892741876,0.05584638034119197
0.8,26038,1301,0.8614222543525294,0.32747451764164115,0.45705421474172747,0.05658981332791424
0.85,26038,1301,0.8610784996984573,0.32631810024243674,0.4455946741442449,0.057394804046421284
0.9,26038,1301,0.8606866448722341,0.3251671432785841,0.43345211150877866,0.058261352496713104
0.95,26038,1301,0.8601903554991127,0.3228305120188305,0.4207257805229167,0.059189458678789685
1.0,26038,1301,0.8596146138390471,0.31862498676032036,0.40751936495128604,0.06017912259265104
